E_MeV,0in,Cd0in,2in,3in,5in,8in,10in,12in,10inPb
0.000000001,0.1946,0,0.08973,0.06639,0.03311,0.00904,0.00364,0.0014,0.00738
0.00000001,0.1946,0,0.08973,0.06639,0.03311,0.00904,0.00364,0.0014,0.00738
0.00000002,0.1927,0,0.1039,0.07862,0.03874,0.01076,0.00437,0.00161,0.00879
0.00000005,0.1867,0,0.1351,0.1005,0.04995,0.01394,0.00549,0.00212,0.01117
0.0000001,0.1769,0,0.1764,0.1351,0.06854,0.01889,0.00746,0.00288,0.01555
0.0000002,0.1621,0.00000103,0.2114,0.1763,0.08822,0.02423,0.00982,0.00367,0.01977
0.0000005,0.1359,0.000991,0.2381,0.2166,0.1154,0.03135,0.01256,0.00477,0.02431
0.0000008,0.122,0.0378,0.241,0.2313,0.1251,0.03399,0.01397,0.00521,0.02723
0.000001,0.1141,0.05989,0.249,0.2383,0.1316,0.0363,0.01454,0.00544,0.02967
0.000002,0.09317,0.07871,0.2404,0.2538,0.1469,0.04035,0.01611,0.00621,0.03262
0.000005,0.06786,0.06218,0.2367,0.2672,0.1666,0.0473,0.0185,0.00706,0.03805
0.00001,0.05228,0.04871,0.22,0.2735,0.18,0.05118,0.02032,0.00768,0.04089
0.00002,0.03882,0.036,0.1987,0.2676,0.1893,0.05466,0.02161,0.00817,0.04413
0.00005,0.02688,0.02515,0.177,0.2612,0.1991,0.06005,0.02353,0.00893,0.04769
0.0000823,0.02211,0.02001,0.1611,0.2538,0.2001,0.06189,0.02412,0.00924,0.04913
0.0001,0.01994,0.00596,0.1588,0.2513,0.2041,0.06247,0.02496,0.00941,0.05048
0.000123,0.01799,0.01773,0.1527,0.2491,0.2077,0.06386,0.02532,0.0096,0.05284
0.0002,0.01454,0.01399,0.143,0.2428,0.2103,0.06604,0.02655,0.01006,0.05338
0.0005,0.00945,0.0094,0.1216,0.2289,0.2152,0.06969,0.02781,0.01062,0.05615
0.001,0.00718,0.00693,0.1067,0.2197,0.21746,0.07406,0.03011,0.01121,0.05951
0.002,0.00525,0.00518,0.09483,0.2041,0.2175,0.07708,0.03168,0.01207,0.06238
0.005,0.00348,0.00341,0.0799,0.187,0.22057,0.08233,0.03415,0.01283,0.06575
0.01,0.0025,0.0024,0.06958,0.1767,0.2274,0.08518,0.03612,0.0136,0.07092
0.02,0.00178,0.0017,0.05984,0.1671,0.227,0.09182,0.03867,0.01489,0.07494
0.05,0.00118,0.00112,0.04858,0.1516,0.233,0.1035,0.04509,0.01719,0.08434
0.1,0.0009321,0.000895,0.03943,0.1407,0.24535,0.1208,0.05318,0.02085,0.09701
0.126,0.0009479,0.0009475,0.03651,0.1343,0.24763,0.1281,0.05913,0.02311,0.10192
0.159,0.00112,0.00112,0.03322,0.1282,0.249,0.1342,0.06521,0.02521,0.1105
0.2,0.00201,0.00185,0.02995,0.1209,0.2508,0.1462,0.0695,0.02891,0.1175
0.251,0.00307,0.00282,0.02734,0.1168,0.2519,0.1568,0.0767,0.03256,0.1312
0.316,0.00138,0.00137,0.02365,0.1075,0.2529,0.1719,0.0891,0.03976,0.1433
0.5,0.0004752,0.000465,0.01759,0.08892,0.2526,0.2017,0.1153,0.05513,0.1662
1,0.0002806,0.000293,0.01018,0.06139,0.2164,0.2488,0.1746,0.09796,0.2125
2,0.0002341,0.000247,0.00526,0.03538,0.1684,0.2525,0.2252,0.1619,0.2384
2.51,0.0002064,0.000219,0.00412,0.02883,0.1433,0.2409,0.2291,0.1826,0.2312
3.16,0.0001689,0.000189,0.00311,0.02345,0.1251,0.2283,0.2306,0.1957,0.2234
5,0.00009574,0.000139,0.00188,0.01481,0.08927,0.1954,0.215,0.2012,0.2042
10,0.00004694,0.0000953,0.0007359,0.00584,0.04201,0.1167,0.1471,0.1587,0.142
19.8,0.00003121,0.0000857,0.0003755,0.00315,0.02333,0.07125,0.09307,0.1083,0.1127
20,0.00003118,0.0000843,0.0003671,0.0031,0.02211,0.07077,0.09272,0.1054,0.1109
50,0.00002867,0.000081,0.0002002,0.00136,0.00999,0.03193,0.04556,0.05638,0.1011
100,0.00002639,0.0000764,0.000145,0.0009179,0.00636,0.0201,0.02851,0.03499,0.09799
200,0.00002531,0.0000722,0.0001221,0.0007533,0.0051,0.01647,0.02345,0.0293,0.1108
300,0.00002584,0.0000744,0.0001205,0.00072,0.00483,0.01524,0.02217,0.02804,0.133
500,0.00002706,0.0000836,0.0001252,0.0007112,0.00492,0.0157,0.0233,0.02956,0.1738
1000,0.0000293,0.000099,0.0001375,0.0007736,0.00539,0.01797,0.02813,0.03601,0.2616
1500,0.0000297,0.000107,0.0001355,0.0007818,0.00548,0.01798,0.02924,0.0381,0.328
2000,0.0000297,0.000107,0.0001355,0.0007818,0.00548,0.01798,0.02924,0.0381,0.328
