E_MeV,0in,2.5in,3in,3.5in,4in,4.5in,5in,6in,7in,8in,9.5in,10in,12in,15in,18in
1e-09,6.11,0.736,0.598,0.501,0.415,0.343,0.28,0.185,0.118,0.0719,0.0363,0.0272,0.0105,0.00165,0.000483
2.15e-09,5.6,0.808,0.657,0.55,0.455,0.375,0.307,0.205,0.13,0.0804,0.0404,0.0305,0.0111,0.00214,0.000494
4.64e-09,4.8,0.934,0.758,0.634,0.524,0.431,0.353,0.234,0.152,0.0938,0.0484,0.0371,0.0129,0.00262,0.000505
1e-08,3.89,1.12,0.9,0.75,0.618,0.511,0.423,0.279,0.179,0.113,0.0566,0.0449,0.0155,0.0034,0.000648
2.15e-08,3.03,1.36,1.08,0.918,0.761,0.631,0.513,0.342,0.213,0.14,0.0652,0.0541,0.0194,0.00449,0.000925
4.64e-08,2.27,1.72,1.42,1.22,1.01,0.834,0.691,0.457,0.291,0.184,0.0884,0.0696,0.0279,0.00506,0.00111
1e-07,1.64,2.11,1.89,1.62,1.36,1.12,0.932,0.616,0.395,0.252,0.121,0.0936,0.0372,0.00608,0.00121
2.15e-07,1.17,2.38,2.27,2.0,1.72,1.43,1.18,0.774,0.507,0.321,0.155,0.126,0.0461,0.00828,0.00133
4.64e-07,0.82,2.47,2.51,2.31,2.04,1.72,1.41,0.938,0.609,0.384,0.19,0.148,0.0523,0.0104,0.00145
1e-06,0.572,2.46,2.65,2.52,2.27,1.95,1.62,1.08,0.704,0.442,0.219,0.17,0.0595,0.0126,0.00163
2.15e-06,0.394,2.37,2.69,2.66,2.45,2.13,1.81,1.22,0.792,0.504,0.243,0.192,0.07,0.0146,0.00187
4.64e-06,0.273,2.24,2.67,2.75,2.58,2.29,1.95,1.34,0.866,0.558,0.275,0.218,0.078,0.016,0.00212
1e-05,0.19,2.04,2.58,2.75,2.64,2.39,2.07,1.44,0.943,0.606,0.299,0.233,0.0842,0.017,0.003
2.15e-05,0.128,1.85,2.45,2.71,2.67,2.46,2.18,1.52,1.02,0.649,0.316,0.237,0.0885,0.018,0.00446
4.64e-05,0.0888,1.65,2.29,2.63,2.66,2.5,2.24,1.61,1.08,0.677,0.339,0.265,0.0914,0.0201,0.00411
0.0001,0.0602,1.47,2.14,2.53,2.63,2.51,2.29,1.69,1.14,0.723,0.364,0.289,0.101,0.0221,0.00378
0.000215,0.0405,1.3,1.98,2.41,2.58,2.52,2.32,1.74,1.2,0.785,0.39,0.308,0.117,0.0239,0.00354
0.000464,0.0279,1.14,1.83,2.3,2.51,2.52,2.34,1.8,1.25,0.828,0.413,0.326,0.12,0.024,0.00366
0.001,0.0191,1.01,1.67,2.18,2.43,2.47,2.36,1.87,1.31,0.873,0.436,0.346,0.128,0.0227,0.00427
0.00215,0.0127,0.883,1.53,2.04,2.35,2.44,2.36,1.9,1.37,0.913,0.468,0.37,0.134,0.0246,0.00484
0.00464,0.00901,0.764,1.39,1.92,2.26,2.39,2.33,1.92,1.42,0.947,0.5,0.383,0.143,0.0265,0.00542
0.01,0.00686,0.698,1.31,1.84,2.21,2.36,2.33,1.96,1.46,0.99,0.523,0.406,0.146,0.0294,0.00601
0.0125,0.00624,0.669,1.27,1.81,2.18,2.35,2.33,1.98,1.48,1.01,0.534,0.422,0.154,0.0312,0.00635
0.0158,0.00562,0.639,1.23,1.78,2.15,2.34,2.33,2.0,1.5,1.04,0.545,0.438,0.162,0.033,0.00669
0.0199,0.00499,0.609,1.2,1.74,2.13,2.33,2.34,2.02,1.53,1.06,0.556,0.453,0.166,0.0348,0.00703
0.0251,0.00437,0.581,1.16,1.71,2.1,2.32,2.34,2.05,1.55,1.08,0.57,0.469,0.165,0.0363,0.00731
0.0316,0.00383,0.554,1.13,1.67,2.08,2.31,2.35,2.08,1.58,1.12,0.591,0.483,0.167,0.0372,0.00749
0.0398,0.00336,0.526,1.09,1.64,2.06,2.31,2.37,2.12,1.62,1.16,0.615,0.497,0.173,0.0378,0.00762
0.0501,0.0029,0.499,1.05,1.61,2.04,2.3,2.38,2.16,1.67,1.21,0.637,0.51,0.187,0.0384,0.00776
0.063,0.00243,0.471,1.02,1.57,2.02,2.29,2.39,2.2,1.73,1.25,0.664,0.529,0.206,0.0401,0.00797
0.0794,0.00197,0.441,0.977,1.53,1.99,2.28,2.41,2.25,1.8,1.32,0.703,0.561,0.226,0.0448,0.00839
0.1,0.00164,0.409,0.933,1.49,1.95,2.27,2.43,2.31,1.87,1.38,0.752,0.609,0.24,0.0509,0.00916
0.125,0.00147,0.377,0.887,1.44,1.92,2.26,2.44,2.37,1.95,1.46,0.814,0.67,0.254,0.0571,0.0103
0.158,0.00131,0.345,0.835,1.38,1.88,2.24,2.46,2.43,2.05,1.56,0.893,0.743,0.284,0.0637,0.012
0.199,0.00115,0.313,0.778,1.32,1.83,2.22,2.47,2.5,2.15,1.68,0.984,0.824,0.325,0.0714,0.0142
0.251,0.000996,0.281,0.719,1.25,1.77,2.19,2.47,2.57,2.27,1.8,1.08,0.919,0.379,0.0852,0.0183
0.316,0.000895,0.249,0.657,1.17,1.7,2.13,2.44,2.62,2.41,1.95,1.21,1.03,0.45,0.106,0.0247
0.398,0.000861,0.217,0.594,1.09,1.61,2.07,2.4,2.66,2.52,2.08,1.35,1.14,0.537,0.132,0.031
0.501,0.000828,0.187,0.527,0.997,1.51,1.97,2.33,2.68,2.59,2.22,1.52,1.29,0.652,0.173,0.0407
0.63,0.000794,0.159,0.461,0.896,1.38,1.86,2.23,2.67,2.65,2.35,1.69,1.46,0.777,0.228,0.058
