E_MeV,Phi
0.00000001,8.30880666666667
0.0000000159,8.08929444444445
0.0000000251,7.86978222222222
0.0000000398,7.65045555555556
0.0000000631,7.4315
0.0000001,7.21384333333333
0.000000159,6.99748555555556
0.000000251,6.78187
0.000000398,6.56569777777778
0.000000631,6.34525777777778
0.000001,6.11554
0.00000159,5.87060666666667
0.00000251,5.60693222222222
0.00000398,5.32396
0.00000631,5.02428777777778
0.00001,4.71348222222222
0.0000159,4.39785222222222
0.0000251,4.08519111111111
0.0000398,3.78329222222222
0.0000631,3.49957777777778
0.0001,3.24147
0.000159,3.01472111111111
0.000251,2.82359888888889
0.000398,2.67107222222222
0.000631,2.55862555555556
0.001,2.48663
0.00159,2.45452888888889
0.00251,2.45972444444444
0.00398,2.49924777777778
0.00631,2.56846
0.01,2.66216555555556
0.0159,2.77405555555556
0.0251,2.89707888888889
0.0398,3.02325666666667
0.0631,3.14442444444444
0.1,3.25149
0.159,3.33573222222222
0.251,3.38843
0.398,3.40104777777778
0.631,3.36523555555556
1,3.28247777777778
1.59,3.13440444444444
2.51,2.92212888888889
3.98,2.68294777777778
6.31,2.42558222222222
10,2.09121111111111
15.9,1.61284888888889
25.1,1.00619355555556
39.8,0.402080333333333
63.1,0.0000450528888888889
