E_MeV,ISO_ref_Cf252,ISO_ref_Cf252_2,ISO_ref_AmBe,ISO_ref_AmB,t4-14-s.txt_1,t4-14-s.txt_2,t4-14-s.txt_3,t4-16-s.txt_1,t4-16-s.txt_2,t4-16-s.txt_3,t4-16-s.txt_4,t4-16-s.txt_5,t4-17-s.txt_1,t4-17-s.txt_2,t4-17-s.txt_3,t4-17-s.txt_4,t4-17-s.txt_5,t4-19-s.txt_1,t4-19-s.txt_2,t4-19-s.txt_3
0.000000001,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00285,0.0019,0,0,0.0127,0.00853,0,0.00453,0.0261,0.0373,0.012,0.0174,0.0173,0.000676,0.000139,3.23e-05
0.00000000215,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00739,0.00653,0,0,0.0131,0.0103,0.00736,0.0122,0.0269,0.0425,0.012,0.0177,0.0161,0.0336,0.000629,5.1e-05
0.00000000464,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0204,0.0229,0,0,0.0185,0.0211,0.0308,0.0517,0.0265,0.053,0.0117,0.0223,0.0164,0.0171,0.00746,0.000953
0.00000001,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0555,0.0747,0.00707,0,0.0871,0.0765,0.146,0.149,0.0754,0.0585,0.0926,0.0859,0.255,0.114,0.0177,0.00155
0.0000000215,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.119,0.182,0.0232,0,0.12,0.0673,0.0984,0.261,0.0792,0.0609,0.153,0.261,0.233,0.252,0.0583,0.00474
0.0000000464,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.136,0.217,0.0507,0,0.154,0.106,0.0413,0.346,0.0995,0.0582,0.144,0.22,0.163,0.289,0.087,0.00949
0.0000001,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0476,0.0755,0.0396,0,0.0367,0.03,0.0968,0.132,0.0339,0.0552,0.0513,0.0691,0.0778,0.0671,0.0646,0.00752
0.000000215,0.00E+00,2.39E-02,0.00E+00,0.00E+00,0.029,0.0446,0.0244,0,0.0298,0.0197,0.114,0.0395,0.157,0.053,0.0165,0.0654,0.0155,0.0361,0.0343,0.0106
0.000000464,0.00E+00,2.41E-02,0.00E+00,0.00E+00,0.0196,0.0215,0.0254,0,0.00925,0.0143,0.0552,0.0309,0.0289,0.0505,0.015,0.0186,0.0706,0.0297,0.0364,0.0111
0.000001,0.00E+00,2.46E-02,0.00E+00,0.00E+00,0.0198,0.026,0.0288,0,0.0258,0.0171,0.0308,0.0108,0.0317,0.0458,0.0143,0.0197,0.0141,0.0215,0.0284,0.0142
0.00000215,0.00E+00,2.56E-02,0.00E+00,0.00E+00,0.0201,0.03,0.0318,0,0.0171,0.0154,0.0225,0.0123,0.0307,0.0439,0.0148,0.0148,0.019,0.0228,0.00997,0.017
0.00000464,0.00E+00,2.80E-02,0.00E+00,0.00E+00,0.0205,0.0298,0.0372,0,0.0142,0.015,0.0221,0.0147,0.0299,0.0392,0.0163,0.0196,0.0113,0.0216,0.0241,0.024
0.00001,0.00E+00,3.35E-02,0.00E+00,0.00E+00,0.0207,0.0293,0.0404,0,0.0157,0.0188,0.0204,0.00918,0.0319,0.0379,0.0126,0.0196,0.0134,0.0216,0.0262,0.0286
0.0000215,0.00E+00,4.35E-02,0.00E+00,0.00E+00,0.0208,0.0304,0.0445,0,0.0163,0.0174,0.0201,0.0121,0.0301,0.0354,0.0152,0.0196,0.0167,0.0216,0.0282,0.037
0.0000464,0.00E+00,5.15E-02,0.00E+00,0.00E+00,0.0209,0.0312,0.049,0,0.0178,0.0175,0.02,0.014,0.0305,0.0329,0.0161,0.0197,0.0171,0.0223,0.0291,0.0381
0.0001,0.00E+00,5.58E-02,0.00E+00,0.00E+00,0.021,0.032,0.0553,0,0.0196,0.0196,0.0207,0.0106,0.0315,0.0332,0.0178,0.0221,0.0161,0.0218,0.0293,0.0456
0.000215,0.00E+00,6.38E-02,0.00E+00,0.00E+00,0.0209,0.0326,0.0544,0,0.0212,0.0199,0.0209,0.0107,0.0319,0.0288,0.0167,0.0229,0.015,0.0225,0.0321,0.0437
0.000464,0.00E+00,6.87E-02,0.00E+00,0.00E+00,0.0209,0.0332,0.0544,0,0.0222,0.0195,0.0212,0.00933,0.0315,0.0294,0.0201,0.0238,0.0177,0.0231,0.0327,0.0492
0.001,0.00E+00,7.80E-02,0.00E+00,0.00E+00,0.021,0.034,0.0586,0,0.0259,0.0181,0.0246,0.0108,0.0365,0.0291,0.023,0.0241,0.0204,0.0233,0.0323,0.0523
0.00215,0.00E+00,6.93E-02,0.00E+00,0.00E+00,0.0214,0.0347,0.0445,0,0.0266,0.0183,0.0276,0.012,0.0365,0.0288,0.0267,0.0246,0.025,0.0233,0.0356,0.0617
0.00464,0.00E+00,8.51E-02,0.00E+00,0.00E+00,0.0229,0.0356,0.0607,0.0043,0.0276,0.0191,0.0347,0.0122,0.0373,0.0288,0.0305,0.0311,0.0253,0.0233,0.039,0.0519
0.01,9.22E-04,8.74E-02,0.00E+00,0.00E+00,0.0253,0.0364,0.0607,0.0169,0.0287,0.0246,0.0383,0.0151,0.0385,0.0313,0.0374,0.0301,0.0288,0.0233,0.0405,0.0631
0.0125,1.29E-03,8.95E-02,0.00E+00,0.00E+00,0.0271,0.0367,0.0586,0.0234,0.0303,0.0316,0.0419,0.0154,0.0409,0.0338,0.047,0.0326,0.0256,0.0233,0.0418,0.0586
0.0158,1.79E-03,9.14E-02,0.00E+00,0.00E+00,0.0337,0.0372,0.0628,0.026,0.0359,0.033,0.0456,0.0165,0.0445,0.0368,0.0907,0.0368,0.0318,0.0233,0.0427,0.0559
0.0199,2.48E-03,8.76E-02,0.00E+00,0.00E+00,0.0645,0.0377,0.0756,0.0439,0.0471,0.0413,0.0483,0.0178,0.0455,0.0384,0.094,0.0416,0.0479,0.0233,0.0427,0.0586
0.0251,3.39E-03,8.38E-02,0.00E+00,0.00E+00,0.117,0.0383,0.0798,0.0592,0.0452,0.0597,0.0525,0.0197,0.0435,0.0417,0.0376,0.0383,0.0212,0.0233,0.0434,0.0671
0.0316,4.64E-03,8.32E-02,0.00E+00,0.00E+00,0.109,0.0391,0.054,0.0685,0.052,0.0517,0.0567,0.0219,0.0443,0.0464,0.0511,0.0366,0.0377,0.0233,0.0457,0.0702
0.0398,6.38E-03,8.37E-02,0.00E+00,0.00E+00,0.0199,0.04,0.0673,0.0924,0.0604,0.0586,0.0625,0.0238,0.0481,0.0516,0.0502,0.0398,0.0819,0.0233,0.047,0.0635
0.0501,8.81E-03,8.29E-02,0.00E+00,0.00E+00,0.00633,0.0412,0.0599,0.103,0.0693,0.0772,0.0664,0.0244,0.0497,0.0587,0.0795,0.0539,0.0594,0.0233,0.0481,0.0613
0.063,1.21E-02,7.98E-02,0.00E+00,0.00E+00,0.0861,0.0426,0.0748,0.115,0.0732,0.0846,0.0691,0.0246,0.0439,0.0697,0.0838,0.0471,0.0431,0.0233,0.0481,0.0631
0.0794,1.69E-02,7.54E-02,0.00E+00,0.00E+00,0.112,0.0443,0.0698,0.121,0.0737,0.0785,0.079,0.026,0.0487,0.0807,0.0856,0.0498,0.0479,0.024,0.0497,0.0685
0.1,2.37E-02,7.14E-02,1.66E-02,0.00E+00,0.11,0.0463,0.0702,0.157,0.0851,0.0948,0.0842,0.0267,0.0514,0.0862,0.102,0.0716,0.055,0.0247,0.0547,0.0711
0.125,3.26E-02,6.80E-02,2.21E-02,0.00E+00,0.131,0.0486,0.0852,0.157,0.095,0.106,0.0872,0.0274,0.0506,0.0917,0.119,0.0576,0.0526,0.0253,0.0575,0.0729
0.158,4.45E-02,6.34E-02,2.87E-02,0.00E+00,0.151,0.0511,0.081,0.223,0.109,0.115,0.0911,0.0276,0.0544,0.0983,0.119,0.0534,0.0459,0.0257,0.0566,0.0756
