feature,mean,std
meteo_exterior_sol_sud,0.26615508126747695,0.11388501832470378
lighting_comedor_sensor,0.12247440899951388,0.1408898161514533
meteo_exterior_sol_oest,0.10605577566565427,0.18369399188904015
lighting_habitacion_sensor,0.09595640667645478,0.11874502844886331
co2_habitacion_sensor,0.0912799019946733,0.06332028389079218
humedad_habitacion_sensor,0.08173385836788406,0.08840843972027254
meteo_exterior_piranometro,0.07401225041352186,0.086252450446115
day_of_week,0.036085115230506976,0.02981461440727937
humedad_comedor_sensor,0.02525433355066708,0.038052621223252654
humedad_exterior_sensor,0.023900833467303453,0.010666754459818045
meteo_exterior_viento,0.021687032101396636,0.03756304146499621
meteo_exterior_sol_est,0.016223355485883533,0.028099675970801544
co2_comedor_sensor,0.009489513558336398,0.016436319622152366
temperature_exterior_sensor,0.007438744755532499,0.006631048411236739
weather_temperature,0.007084225449611174,0.011340012579853911
hour,0.006611100531412683,0.011450762014352371
minute,0.005555877152662121,0.009623061509021901
precipitacion,0.0030021853315083686,0.005199937527910508
meteo_exterior_crepusculo,0.0,0.0
